fontstyle,italic,Bold
TgpwxxMTSYB,0,0
JlvmqqMyriadPro-Semibold,0,1
FtytqvMTSYB,0,0
JcdpjnMTSYN,0,0
LmvpbyWarnockPro-It,1,0
NvpsfdMTSYN,0,0
CjppglWarnockPro-Regular,0,0
SpkmjdWarnockPro-Regular,0,0
YvbgbbWarnockPro-It,1,0
GhdrjwWarnockPro-Regular,0,0
XgxvllWarnockPro-Regular,0,0
JtmjwsMTSYN,0,0
FsfyphWarnockPro-It,1,0
RhgftcMyriadPro-Semibold,0,1
LbcrmnMTSYB,0,0
FnrvscMyriadPro-Semibold,0,1
DrfdckMTSYN,0,0
STIX-Regular,0,0
URWPalladioL-Ital,1,0
URWPalladioL-Bold,0,1
URWPalladioL-Roma,0,0
VnURWPalladioL,0,0
EURM10,0,0
TimesNewRomanPS-BoldItalicMT,1,1
CMSY10,0,0
PazoMath-Italic,1,0
PalatinoLinotype,0,0
TeXGyreAdventor-Bold,0,1
CMR10,0,0
TimesNewRoman,0,0
SimSun,0,0
Symbol,0,0
Arial,0,0
URWPalladioL-BoldItal,1,1
PazoMath,0,0
EURM7,0,0
CMMI10,1,0
CambriaMath,0,0
TeX-matha10,0,0
TeX-matha8,0,0
PalatinoLinotype-Italic,1,0
PalatinoLinotype-Bold,0,1
PalatinoLinotype-Roman,0,0
Arial-BoldItalicMT,1,1
TeX-matha9,0,0
PalatinoLinotype-BoldItalic,1,1
PazoMath-Bold,0,1
TeX-mathx10,0,0
MSBM10,0,0
CMSY9,0,0
Times New Roman,0,0
é»‘ä½“,0,0
å®‹ä½“,0,0
MicrosoftYaHei,0,0
BellMT,0,0
PazoMath-BoldItalic,1,1
CMBSY10,0,0
EURB7,0,0
EURB10,0,0
SourceSansRoman-Regular,0,0
SourceSansRoman.613wght,0,0
SourceSansRoman-Bold,0,1
MSUIGothic,0,0
MTExtra,0,0
Palatino Linotype,0,0
SFSS0500,0,0
MSMincho,0,0
CMTT10,0,0
Times,0,0
Lato-Regular,0,0
Cambria Math,0,0
TeX-matha7,0,0
CMBX10,0,1
Times-Roman,0,0
TimesNewRomanPS-ItalicMT,1,0
Cambria,0,0
Meiryo,0,0
NSimSun,0,0
ArialMT-Bold,0,1
